Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-12-08,3.753,3.95,3.63,3.78,3.78,20164400,247
2021-12-09,3.712,3.86,3.6,3.6,3.6,15899500,248
2021-12-10,3.655,3.7,3.49,3.58,3.58,13363700,249
2021-12-13,3.56,3.63,3.33,3.41,3.41,15333200,250
2021-12-14,3.282,3.34,3.19,3.19,3.19,20731000,251
2021-12-15,3.18,3.28,2.97,3.22,3.22,27559200,252
2021-12-16,3.275,3.32,3.055,3.11,3.11,16783600,253
2021-12-17,3.01,3.3,2.94,3.23,3.23,22705100,254
2021-12-20,3.11,3.22,3.06,3.09,3.09,15237500,255
2021-12-21,3.14,3.58,3.14,3.54,3.54,36153200,256
2021-12-22,3.46,3.62,3.42,3.48,3.48,21699600,257
2021-12-23,3.47,3.65,3.32,3.58,3.58,19297700,258
2021-12-27,3.505,3.535,3.33,3.36,3.36,16259400,259
2021-12-28,3.31,3.417,3.18,3.19,3.19,15023000,260
2021-12-29,3.187,3.21,2.98,3.01,3.01,22613700,261
2021-12-30,3.02,3.37,2.992,3.22,3.22,29822400,262
2021-12-31,3.21,3.329,3.09,3.11,3.11,21354200,263
2022-01-03,3.15,3.26,3.01,3.22,3.22,23016100,264
2022-01-04,3.17,3.235,2.95,3.04,3.04,32806500,265
2022-01-05,3.01,3.045,2.785,2.79,2.79,29788300,266
2022-01-06,2.77,2.815,2.57,2.72,2.72,27287900,267
2022-01-07,2.69,2.84,2.681,2.76,2.76,16431500,268
2022-01-10,2.67,2.69,2.51,2.59,2.59,26165000,269
2022-01-11,2.59,2.89,2.55,2.79,2.79,26749900,270
2022-01-12,2.8,2.868,2.71,2.72,2.72,15142300,271
2022-01-13,2.73,2.75,2.53,2.53,2.53,14902200,272
2022-01-14,2.5,2.59,2.44,2.53,2.53,18071100,273
2022-01-18,2.48,2.6,2.44,2.47,2.47,18813200,274
2022-01-19,2.48,2.59,2.43,2.45,2.45,16870900,275
2022-01-20,2.49,2.72,2.48,2.5,2.5,21562300,276
2022-01-21,2.49,2.635,2.41,2.47,2.47,27683000,277
2022-01-24,2.38,2.4,2.1,2.38,2.38,35735900,278
2022-01-25,2.29,2.39,2.22,2.3,2.3,16224500,279
2022-01-26,2.345,2.57,2.31,2.36,2.36,30351300,280
2022-01-27,2.42,2.45,2.22,2.23,2.23,18913900,281
2022-01-28,2.22,2.35,2.14,2.31,2.31,18071800,282
2022-01-31,2.34,2.68,2.34,2.65,2.65,28052500,283
2022-02-01,2.764,2.93,2.61,2.86,2.86,27487600,284
2022-02-02,2.9,2.9,2.56,2.58,2.58,23376900,285
2022-02-03,2.46,2.54,2.3,2.31,2.31,16840800,286
2022-02-04,2.36,2.39,2.25,2.35,2.35,22380600,287
2022-02-07,2.37,2.49,2.3,2.3,2.3,16471000,288
2022-02-08,2.28,2.375,2.26,2.34,2.34,20998100,289
2022-02-09,2.38,2.54,2.34,2.53,2.53,41964900,290
2022-02-10,2.43,2.65,2.4,2.44,2.44,23404200,291
2022-02-11,2.45,2.525,2.25,2.26,2.26,24051000,292
2022-02-14,2.26,2.35,2.2,2.24,2.24,20904700,293
2022-02-15,2.34,2.67,2.32,2.65,2.65,30348200,294
2022-02-16,2.55,2.607,2.48,2.51,2.51,15195300,295
2022-02-17,2.478,2.49,2.3,2.32,2.32,17768100,296
2022-02-18,2.34,2.36,2.16,2.17,2.17,37131400,297
2022-02-22,2.1,2.18,2,2.05,2.05,31350200,298
2022-02-23,2.12,2.12,1.98,2.01,2.01,26314500,299
